course_name,platform,skills_taught,course_url,difficulty,rating,predicted_rating_rf,predicted_rating_catboost
Supply Chain Management Specialization,Rutgers the State University of New Jersey,"['Forecasting', 'Lean Six Sigma', 'Supply Chain Risk Management', 'Logistics', 'Supply Chain']",https://www.coursera.org/specializations/supply-chain-management,Beginner level,4.8,4.768999999999988,4.866164799207677
Advanced Business Analytics Capstone,University of Colorado Boulder,[],https://www.coursera.org/learn/data-analytics-business-capstone,Intermediate level,4.3,3.7419999999999947,4.04741961886214
Piling Construction and practices Specialization,L&T EduTech,"['Proficiency in pile design terminology, code requirements, and technical expertise in BCIS pile construction and design for both normal and rocky conditions.']",https://www.coursera.org/specializations/piling-construction-and-practices,Advanced level,4.2,3.2204999999999995,3.800021107797189
Navigating Generative AI for Leaders Specialization,Coursera,"['AI as a thought-partner', 'Leading AI change', 'AI product innovation', 'AI ethics and risks', 'AI strategy', 'Generative AI', 'AI Productivity', 'AI as a thought-partner', 'Leading AI change', 'AI product innovation', 'AI ethics and risks', 'AI strategy', 'Generative AI', 'AI Productivity']",https://www.coursera.org/specializations/navigating-generative-ai-for-leaders,Beginner level,4.9,4.557999999999989,4.5369000792535745
Using Python to Interact with the Operating System,Google,"['Automating System Administration Tasks with Python', 'Setting up your Development Environment', 'Bash Scripting', 'Regular Expression (REGEX)', 'Testing in Python']",https://www.coursera.org/learn/python-operating-system,Beginner level,4.7,4.562500000000013,4.482726898923462
Prepare for AZ-204: Developing Solutions for Microsoft Azure,Microsoft,"['Test Preparation', 'Microsoft Azure']",https://www.coursera.org/learn/az-204-developing-solutions-for-microsoft-azure,Intermediate level,4.6,3.612000000000007,3.952452927791483
International Security Management,Erasmus University Rotterdam,[],https://www.coursera.org/learn/international-security-management,Beginner level,4.7,4.557500000000013,4.255827457708714
Introduction to Juniper Cloud Concepts Specialization,Juniper Networks,"['Junos Operating System', 'Cloud', 'Openstack', 'Kubernetes', 'Junos Operating System', 'Cloud', 'Openstack', 'Kubernetes']",https://www.coursera.org/specializations/juniper-networks-cloud-intro,Beginner level,4.3,4.386999999999991,4.78061763577216
Application Programming Fundamentals,LearnQuest,"['logic', 'Computer Programming', 'Python Programming', 'numeric operators', 'Design Pattern']",https://www.coursera.org/learn/application-programming-fundamentals,Beginner level,4.4,4.600500000000006,4.427461582165311
"Lesson | Business English Skills: How to Navigate Tone, Formality, and Directness in Emails",University of Washington,[],https://www.coursera.org/learn/business-english-skills-how-to-navigate-tone-formality-directness-in-emails,Intermediate level,4.5,4.314000000000002,4.499442588589275
Drug Hunting: The Science of Making New Medicines Specialization,Novartis,"['Preclinical Testing', 'Safety Monitoring', 'Assay', 'Pharmacodynamics', 'Pharmaceutical Formulation', 'High Throughput Screening']",https://www.coursera.org/specializations/drug-hunting-discovery-and-development,Intermediate level,4.9,4.40849999999999,4.830922201035833
Emphasizing Christian Formation,Duke University,"['Theology', 'Christian formation', 'Methodism', 'theology', 'ministry', 'Spiritual Direction', 'spiritual direction', 'methodism']",https://www.coursera.org/learn/theology-emphasizing-christian-formation,Beginner level,0.0,1.7865000000000004,1.1048848023320335
Mastering UX & Business App Development with OOP,Northeastern University,"['Software Development', 'UI/UX Design Systems', 'Java Syntax']",https://www.coursera.org/learn/mastering-ux-business-app-development-with-oop,Intermediate level,0.0,4.556499999999999,4.621035258642642
Human Resource Management: HR for People Managers Specialization,University of Minnesota,"['Onboarding', 'Human Resources (HR)', 'Performance Management', 'interviewing', 'managing people']",https://www.coursera.org/specializations/human-resource-management,Beginner level,4.8,4.64899999999999,4.856704368314111
Online teaching: Using Zoom to connect with learners,Macquarie University,"['Video Conferencing', 'Lesson Plan', 'Virtual Class', 'Web Conferencing', 'Zoom']",https://www.coursera.org/learn/using-zoom-to-connect-with-learners,Beginner level,4.8,4.5599999999999925,4.478165494245298
Robotics: Computational Motion Planning,University of Pennsylvania,"['Motion Planning', 'Automated Planning And Scheduling', 'A* Search Algorithm', 'Matlab']",https://www.coursera.org/learn/robotics-motion-planning,None,4.3,4.376499999999992,4.742563813988616
Foundational Sustainability Skills & Competencies,Arizona State University,"['Sustainable Business', 'Communication', 'Sustainability', 'Project Planning']",https://www.coursera.org/learn/sustainability-skills-and-competencies,Beginner level,4.3,4.4639999999999915,4.643283629305929
Customer Centricity with Professor Jagdish Sheth Specialization,Kennesaw State University,"['Business', 'Marketing', 'Customer Success', 'Business Strategy', 'Customer Satisfaction']",https://www.coursera.org/specializations/customercentricity,Beginner level,4.8,4.58349999999999,5.054450433048893
Anatomy & Physiology: Support & Movement,Rice University,"['Anatomical Terminology', 'Physiological Processes', 'Organ Systems', 'Clinical Relevance', 'Research and Information Literacy']",https://www.coursera.org/learn/anatomy--physiology-support--movement,Intermediate level,4.9,4.657499999999992,4.474126131351715
Contemporary India,The University of Melbourne,[],https://www.coursera.org/learn/india,Beginner level,4.2,4.05250000000001,4.243543082207898
Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,"['Substance Use Disorder', 'Substance Use Disorder Screening', 'Substance Use Disorder Treatment', 'Substance Use Disorder Diagnosis', 'Substance Use Disorder Prevention']",https://www.coursera.org/learn/addiction-treatment,Beginner level,4.8,4.645499999999991,4.418088770934003
Create High-Fidelity Designs and Prototypes in Figma,Google,"['User Experience (UX)', 'Prototype', 'mockup', 'User Experience Design (UXD)', 'Figma']",https://www.coursera.org/learn/high-fidelity-designs-prototype,Beginner level,4.8,4.651999999999988,4.128374713784284
Introduction to Key Constitutional Concepts and Supreme Court Cases,University of Pennsylvania,[],https://www.coursera.org/learn/constitution,Beginner level,4.8,4.574499999999994,4.779910765868027
Azure Infrastructure Fundamentals,LearnQuest,"['Remote Backup Service', 'Cloud Computing', 'Azure', 'Architect Cloud Network']",https://www.coursera.org/learn/azure-infrastructure,Advanced level,3.7,3.510000000000005,3.5933288538245223
Speaking and Presenting: Poise,University of Michigan,"['Communication', 'Poise', 'Advocacy', 'Rhythm']",https://www.coursera.org/learn/speaking-and-presenting-poise,Beginner level,4.6,4.203500000000007,4.263920969499394
DevOps Culture and Mindset,"University of California, Davis",[],https://www.coursera.org/learn/devops-culture-and-mindset,Intermediate level,4.7,4.617000000000015,4.506011583440259
